SORBITOL (%),YEAST EXTRACT (%),pH,TEMPERATURE (degree C),AGITATION (rpm),EXPERIMENTAL XYLANASE ACTIVTIY (U/mL)
0.5000000000000001,0.5000000000000001,7.0,45.0,250.0,345
1.5,1.5,5.0,32.5,175.0,4560
2.5,2.5,7.0,45.0,250.0,1295
2.5,0.5000000000000001,7.0,20.0,250.0,1275
1.5,2.5,5.0,32.5,175.0,4485
1.5,1.5,5.0,32.5,250.0,4545
0.5000000000000001,0.5000000000000001,3.0,20.0,250.0,385
1.5,1.5,3.0,32.5,175.0,4525
2.5,0.5000000000000001,3.0,20.0,100.0,1295
2.5,0.5000000000000001,7.0,20.0,100.0,1398
1.5,1.5,5.0,32.5,175.0,4450
2.5,2.5,3.0,20.0,100.0,1350
1.5,1.5,5.0,32.5,175.0,4450
0.5000000000000001,0.5000000000000001,7.0,20.0,250.0,400
0.5000000000000001,0.5000000000000001,3.0,45.0,250.0,425
1.5,1.5,5.0,32.5,175.0,4450
0.5000000000000001,2.5,7.0,20.0,250.0,435
1.5,0.5000000000000001,5.0,32.5,175.0,3490
0.5000000000000001,2.5,7.0,45.0,250.0,320
2.5,0.5000000000000001,3.0,20.0,250.0,1300
1.5,1.5,7.0,32.5,175.0,4540
0.5000000000000001,0.5000000000000001,7.0,20.0,100.0,395
1.5,1.5,5.0,45.0,175.0,4545
0.5000000000000001,2.5,7.0,45.0,100.0,320
2.5,0.5000000000000001,3.0,45.0,250.0,1250
1.5,1.5,5.0,32.5,175.0,4560
0.5000000000000001,2.5,3.0,20.0,100.0,415
2.5,2.5,3.0,45.0,100.0,495
0.5000000000000001,1.5,5.0,32.5,175.0,2495
1.5,1.5,5.0,20.0,175.0,4595
2.5,2.5,3.0,45.0,250.0,1350
0.5000000000000001,2.5,3.0,20.0,250.0,410
1.5,1.5,5.0,32.5,100.0,4545
2.5,0.5000000000000001,3.0,45.0,100.0,1260
0.5000000000000001,0.5000000000000001,7.0,45.0,100.0,410
0.5000000000000001,2.5,3.0,45.0,100.0,415
2.5,2.5,7.0,20.0,250.0,1350
0.5000000000000001,2.5,7.0,20.0,100.0,320
0.5000000000000001,0.5000000000000001,3.0,45.0,100.0,440
0.5000000000000001,0.5000000000000001,3.0,20.0,100.0,435
2.5,2.5,7.0,20.0,100.0,1345
2.5,2.5,7.0,45.0,100.0,1195
2.5,0.5000000000000001,7.0,45.0,250.0,1360
1.5,1.5,5.0,32.5,175.0,4555
2.5,2.5,3.0,20.0,250.0,1230
2.5,1.5,5.0,32.5,175.0,4340
2.5,0.5000000000000001,7.0,45.0,100.0,1345
1.5,1.5,5.0,32.5,175.0,4500
1.5,1.5,5.0,32.5,175.0,4548
0.5000000000000001,2.5,3.0,45.0,250.0,430
0.5075148389643114,0.508059630078006,7.023412798715573,46.584596380290655,240.239516448801,345
1.5391296084217563,1.5662510889685144,4.899375279905773,32.81487058963158,163.6663422779888,4560
2.551267233963472,2.539067718709667,6.7769972171224,44.59778163711843,246.80949279897288,1295
2.4367661994129906,0.5089200880530642,6.733577833638933,20.086792977241622,248.2218317159969,1275
1.3423607864986344,2.5478263771545206,5.046877773226448,33.60803511127627,165.9643171863981,4485
1.5909291835864303,1.5009484738967123,4.832357911907404,32.66474544627485,242.29121000401676,4545
0.44918894982432245,0.5024829318435111,2.935282115413356,20.521240729058526,248.31205399781783,385
1.5023326763444866,1.5943267053249504,2.8036839362010473,32.60515473774573,167.10305539144616,4525
2.495081509106633,0.505610888473909,3.1496872118941086,21.198977273595602,97.73604212387525,1295
2.4884915994173857,0.5321802884559267,6.903541253098466,19.50444926442691,106.71587508383723,1398
1.6248603822084011,1.40584544241012,5.113529697667525,30.05580190667663,178.25534422901094,4450
2.4839756894409177,2.5715395054989525,3.1733010952000016,20.88205837949658,97.68335480380684,1350
1.4251626079843296,1.527263672829442,4.73742989219566,32.123711704993895,168.30986058603298,4450
0.5761231994376839,0.5954154141062578,7.073693795299065,20.088398116498738,256.305953489437,400
0.31677112179738365,0.5385021063350803,2.973191075992938,44.288372611645144,248.39675182330447,425
1.5293389136811033,1.4214365473669708,5.069052682664304,31.925691139113027,191.82462927037045,4450
0.44165830562131636,2.435454964015142,7.116479825144491,19.2469229547962,254.09100115155547,435
1.4434481005421338,0.5536286149328664,5.070924306097951,32.77939037600363,173.9048571792857,3490
0.3812466287661882,2.5160847798623536,7.354585975629261,44.89086643254039,249.32228547805687,320
2.4511530655255123,0.4868710930039417,3.1251569179566343,20.409544646345903,255.95472062787164,1300
1.6235462248724102,1.5802359039755145,6.970753264545234,32.984776248271096,189.71391593461806,4540
0.4379040652349042,0.4671910982730241,6.977651787295581,19.59808999418761,98.31850793510733,395
1.5619439027080853,1.4543212228021816,5.386845615806543,44.324357895290206,180.4690315991199,4545
0.5186105949902927,2.4521286777961517,7.1807920023455605,47.0051095028559,91.20737753354857,320
2.5034536527933926,0.546311575124266,3.209637647385192,44.34928648487476,250.3806552567828,1250
1.5271113475599731,1.4631890009295065,5.217762050117335,32.253569253976025,176.72059840441722,4560
0.42917839582430073,2.56834752847217,2.9542861764776,18.487977389011245,112.41251372306522,415
2.409064546089697,2.5206749468734477,3.115723578605661,43.86646332798022,87.34423111218145,495
0.5547845261410315,1.478889335893409,5.090251045428022,31.463444217216725,181.33249170632502,2495
1.418567458320506,1.3490318823557947,4.914887365240283,20.463333840162377,183.04721965710914,4595
2.6337410232896925,2.49285685882678,3.28308830871316,46.40260778528438,256.5763908649481,1350
0.557874797758887,2.437664316201152,3.173814155766617,20.1384283559617,252.90952999327794,410
1.399350271125721,1.4700591042927966,5.089991747499794,31.47089980438838,94.44595351755945,4545
2.4572749823491646,0.5057836629375608,3.095877891773049,44.718923461097205,105.34896863263486,1260
0.3794246716045335,0.6747804559535191,6.943499489842274,45.17193112081829,92.2829205615478,410
0.7529272531070831,2.4663679094549176,3.1134459529446925,46.5538034636709,102.91807367516999,415
2.439079793363519,2.46547685431338,6.922803158374916,20.833629181920628,248.13879376698316,1350
0.5951889766100805,2.4113350170037666,6.946360869156541,20.995368202931584,96.4740406803379,320
0.4805253463751229,0.37727763250940916,2.833804758592964,45.93720944863198,90.41481062691376,440
0.4586493766487194,0.3405068907377087,2.9648670332440252,20.612192452725985,102.51467230359707,435
2.562223599644603,2.6901237178097754,6.932638171244738,19.63494436070851,106.15194526514867,1345
2.4890851245727323,2.526669820778011,7.182095618374496,44.73990998902953,97.17714144629868,1195
2.551478715772972,0.3796017485955403,6.849207285231431,45.30078298249258,254.3833447566882,1360
1.5207121517663167,1.5361449926858548,4.966209844862221,33.0843925003565,171.7475318233904,4555
2.400015468154478,2.510002387881109,3.00504427417508,20.45545051151151,252.48095751983007,1230
2.5273983377434277,1.548809649105971,4.873813865613214,32.77083525187912,179.861283828485,4340
2.4356636583992124,0.3435728455250435,7.271715161421438,44.49695949181033,107.5260897676501,1345
1.507033613570835,1.6021629840748852,5.099427937665324,32.55042266736847,191.43740841519696,4500
1.3567172051563043,1.530186782849018,5.2465195595754395,31.976164381517766,168.78479587035088,4548
0.5979485888114217,2.5275046008210147,3.072681682724865,45.15052422222706,248.76323227456874,430
